security,symbol,market_cap,current_price,previous_price,day_low,day_high,year_week_low,year_week_high,sector,move,category
Aon plc,AON,79.668,368.83,368.52,365.89,371.73,268.06,412.97,Financials,0.08,up
PPL Corporation,PPL,26.783,36.24,36.21,35.85,36.65,26.79,36.65,Utilities,0.08,up
Healthpeak Properties,DOC,13.148,18.82,18.81,18.67,19.3,17.33,23.26,Real Estate,0.05,up
PPG Industries,PPG,23.113,101.83,101.78,101.35,105.96,90.24,137.24,Materials,0.05,up
American International Group,AIG,47.665,81.65,81.64,81.16,82.37,69.0,88.07,Financials,0.01,up
Dow Inc.,DOW,20.467,29.0,29.0,28.74,30.74,25.06,60.19,Materials,0.0,up
Kinder Morgan,KMI,59.107,26.6,26.6,26.41,27.12,18.13,31.48,Energy,0.0,up
Walgreens Boots Alliance,WBA,9.503,10.99,10.99,10.98,11.07,8.08,18.83,Consumer Staples,0.0,up
AvalonBay Communities,AVB,29.388,206.42,206.44,205.32,210.12,180.4,239.29,Real Estate,-0.01,down
Expeditors International,EXPD,14.752,107.09,107.11,106.36,110.35,100.47,131.59,Industrials,-0.02,down
Progressive Corporation,PGR,155.37,265.03,265.08,263.11,266.99,201.34,292.99,Financials,-0.02,down
Omnicom Group,OMC,14.345,73.25,73.27,73.11,75.43,69.13,107.0,Communication Services,-0.03,down
Roper Technologies,ROP,59.178,551.08,551.3,550.35,564.12,499.47,595.17,Information Technology,-0.04,down
Domino's,DPZ,16.664,485.88,486.14,481.66,491.95,396.06,542.75,Consumer Discretionary,-0.05,down
Paychex,PAYX,51.587,143.22,143.29,142.71,145.59,115.4,158.37,Industrials,-0.05,down
Lamb Weston,LW,7.4,52.44,52.47,51.97,53.5,47.9,89.51,Consumer Staples,-0.06,down
Hologic,HOLX,13.126,58.15,58.19,57.86,59.48,55.89,84.67,Health Care,-0.07,down
Lowe's,LOW,121.882,217.76,217.92,217.15,225.63,206.39,287.01,Consumer Discretionary,-0.07,down
Caesars Entertainment,CZR,5.665,26.72,26.75,26.49,28.63,21.4,45.93,Consumer Discretionary,-0.11,down
Cigna,CI,91.279,336.69,337.07,333.45,341.59,262.03,370.83,Health Care,-0.11,down
J.M. Smucker Company (The),SJM,12.515,117.6,117.73,116.46,118.63,98.77,125.42,Consumer Staples,-0.11,down
Dominion Energy,D,45.449,53.33,53.4,52.79,54.49,47.99,61.97,Utilities,-0.13,down
D. R. Horton,DHI,38.514,124.79,124.96,124.47,129.06,110.44,199.85,Consumer Discretionary,-0.14,down
Eversource Energy,ES,21.276,57.96,58.05,57.51,59.18,52.28,69.01,Utilities,-0.16,down
